smiles,idnumber,reagent1,reagent2,reagent3,reagent4,reaction,MW,HAC,sLogP,HBA,HBD,RotBonds,FSP3,TPSA,QED,PAINS,BRENK,NIH,ZINC,LILLY,lead-like,350/3_lead-like,fragments,strict_fragments,PPI_modulators,natural_product-like,Type,InChiKey,pred
CC1=CC=C(COC(=O)C2=NN3CCCOC3=C2C)C=C1,Z2287520577,3590662,5366,,,1458,286.331,21,2.639,5,0,3,0.375,53.350,0.814,,,,,,True,True,,,,,AAACASZZCRDNKY-UHFFFAOYSA-N,,-33.390075105169046
COC1=CC(OC(=O)C2CC(=C3CCC3)C2)=CC=C1C#N,Z4664009087,8157684,22975920,,,11,283.327,21,3.363,4,0,3,0.412,59.320,0.485,,True,,,True,True,,,,,AAACBCGVDLZNMX-UHFFFAOYSA-N,,,-38.32948532178812
CC1=C(C#N)C(SC(C)C(=O)O)=NC=N1,Z5533635875,2294,3045898,,,27,223.257,15,1.222,5,1,3,0.333,86.870,0.612,,,,,,True,,,,,,MAAACBDPMSXNPHF-UHFFFAOYSA-N,,-34.662220738265034
COC(=O)C1=CC=C(NC(=O)CC2CCOC2=O)C=C1,Z4098551929,565,3480895,,,22,277.276,20,1.365,5,1,4,0.357,81.700,0.840,,,,,,True,True,,,,,AAACCGSPVQHXDA-UHFFFAOYSA-N,,-36.87720548885098
CC1=C(C2=NC(N(C)C)=NO2)C=NN1C1=CC=CC(Cl)=C1,Z1460275356,3673866,231119,,,265764,303.753,21,2.950,6,0,3,0.214,59.980,0.744,,,,,,True,,,,,AAACCPNSINYJAL-UHFFFAOYSA-N,,,-37.73523968413073
COC(=O)C1(N2C=C(C3=CC(F)=CC(Br)=C3)N=N2)CC1,Z5410191487,11286596,26230103,,,273910,340.152,20,2.509,5,0,3,0.308,57.010,0.806,,,,,,True,True,,AAACCUUESACXII-UHFFFAOYSA-N,,,,,-34.417954492190624
O=C(C1=CN=C(C(F)F)N=C1)N1CC(N2C=NC=N2)C1,Z5469613481,2192493,3589510,,,22,280.238,20,0.703,6,0,3,0.364,76.800,0.827,,,,,,True,True,,,,AAACDNAYAMCXMW-UHFFFAOYSA-N,,,-38.56225512727866
CS(=O)(=O)NC1=CN=CC(C(=O)N2CC3(C2)CS(=O)C3)=C1,Z4467001469,26621104,7366959,,,22,329.403,21,-0.342,5,1,3,0.500,96.440,0.818,,,,,,True,True,,,AAACDNWZSJOBAX-UHFFFAOYSA-N,,,,-40.19516791175248
N#C[C@]1(O)C[C@@H](C(=O)OCCC2CCCC(=O)O2)C1,Z3575197597,26047235,11301141,,,1458,267.281,19,0.680,6,1,4,0.769,96.620,0.594,,True,True,True,True,True,,,True,M,AAACDQBZJJWFIW-PKTFVEBMSA-N,,,-36.170116784729096
CC1=NC(F)=CC=C1CNC(=O)C1=CN=C(C(C)O)S1,Z5604484715,34268141,11251268,,,22,295.339,20,1.969,5,2,4,0.308,75.110,0.846,,True,,,,True,True,,,AAACEEGZIFPKFA-UHFFFAOYSA-N,,,,-35.56356261502458
