smiles,idnumber,reagent1,reagent2,reagent3,reagent4,reaction,MW,HAC,sLogP,HBA,HBD,RotBonds,FSP3,TPSA,QED,PAINS,BRENK,NIH,ZINC,LILLY,lead-like,350/3_lead-like,fragments,strict_fragments,PPI_modulators,natural_product-like,Type,InChiKey,pred
COC1=NN(C)C(N2C(=O)N[C@@H]([C@@H](C)OC)C2=O)=C1,Z3349820858,24532785,26056660,,,272212,268.273,19,-0.112,6,1,4,0.545,85.690,0.770,,True,,,,True,,,AAACNVGJCUWDPG-MUWHJKNJSA-N,,,,,-40.25636275739839
BrC1=CN=CN=C1SC1=NNC(CC2=CC=CC=C2)=N1,Z1958826938,2999608,2231606,,,27,348.229,20,3.099,5,1,4,0.077,67.350,0.734,,,,,,True,,,,,,AAACOQLCZZCMDK-UHFFFAOYSA-N,,-36.29325579195484
CC1=CC=C(CNC2=NC(C(C)C)=NO2)C=C1[N+](=O)[O-],Z1611150034,3531936,9596,,,270302,276.296,20,3.022,6,1,5,0.385,94.090,0.666,,True,,,,True,,,,,AAACORAZVXHXNV-UHFFFAOYSA-N,,,-37.4156785419192
CC1=NSC(C(=O)NCCCC2=NC(C3CC3)=NN2)=C1,Z2973470250,2806830,3062325,,,527,291.380,20,1.810,5,2,6,0.538,83.560,0.795,,True,,,,True,True,,,,,AAACOTGZEJFNOJ-UHFFFAOYSA-N,,-33.424790237234674
COC(C)C(=O)COC(=O)C1=NSC=C1Br,Z4459989979,11395743,26664225,,,1458,308.153,16,1.666,6,0,5,0.444,65.490,0.774,,,,,,True,True,,,,AAACOTQWIIQWQN-UHFFFAOYSA-N,,,-35.20323157773059
"CC1=CC=C(CN(C)C(=O)[C@@H]2C[C@@H]3C=C[C@H]2O3)C=C1C |&1:10,12,15|",Z5439421973,22129963,27328910,,,22,271.360,20,2.605,2,0,3,0.471,29.540,0.791,,True,,,,True,True,True,,,,M,"AAACOWIWKJFIFG-ARFHVFGLSA-N,AAACOWIWKJFIFG-PMPSAXMXSA-N",-36.117958838565166
"CC1=CC=C(CN(C)C(=O)[C@@H]2C[C@H]3C=C[C@@H]2O3)C=C1C |&1:10,12,15|",Z4608889897,22129963,26623269,,,22,271.360,20,2.605,2,0,3,0.471,29.540,0.791,,True,,,,True,True,True,,,,S,"AAACOWIWKJFIFG-HRCADAONSA-N,AAACOWIWKJFIFG-OAGGEKHMSA-N",-35.45297632769044
"C[C@@H]1OCC[C@@H]1C(=O)NOCC(N)=O |&1:1,5|",Z3565705143,3277754,22241531,,,22,202.210,14,-1.055,4,2,4,0.750,90.650,0.569,,True,,,,True,,,,"AAACOXKAAGPNND-PHDIDXHHSA-N,AAACOXKAAGPNND-WDSKDSINSA-N",,,,-35.400215221552216
CCOC(=O)C#CC(C)OC(=O)[C@H](C)N1C=NN=N1,Z3540709632,17099701,3100257,,,276436,266.257,19,-0.268,8,0,4,0.545,96.200,0.420,,True,True,,True,True,,,,,AAACPBFCHHJXPV-GKAPJAKFSA-N,,,-35.46017461903614
COCCCNC(=O)NNC(=O)CC1=CC=C(C#N)C=C1,Z982992784,2027718,2061429,,,22,290.323,21,0.468,4,3,6,0.357,103.250,0.523,,True,,,True,True,True,,,,,AAACPJGJXDJWTI-UHFFFAOYSA-N,,-40.03398642805031
CC(C)C1=NN=C2C(SC3CCCS(=O)(=O)C3)=NC=CN12,Z3870476620,5999120,9354661,,,27,326.447,21,1.917,7,0,3,0.615,77.220,0.857,,,,,,True,True,,,,AAACPPDDIKOSNC-UHFFFAOYSA-N,,,-34.243900404635326
CC1=C(C(=O)N2CCCC(N3N=CC=N3)C2)N=C(O)S1,Z3054512471,17637031,13561317,,,22,293.352,20,1.226,7,1,2,0.500,84.140,0.900,,,,,,True,True,,,AAACPSRMPVICFY-UHFFFAOYSA-N,,,,-35.1381847833098
O=C(C1=COC([C@@H]2CCCN2)=N1)N1CC2(CO)CC1C2,Z4004743349,26401249,17566995,,,240690,277.324,20,0.696,5,2,3,0.714,78.600,0.850,,,,,,,,,True,M,AAACQAUFOVGXGW-XIRUVYRFSA-N,,,-33.27613477945772
C#CCOCCONC(=O)C1=CC=C(OCC(F)(F)F)O1,Z3208588677,23553994,4803115,,,22,307.224,21,1.532,5,1,8,0.417,69.930,0.448,,True,,,True,True,True,,,,AAACQFRGLZWUTB-UHFFFAOYSA-N,,,-34.39269753604741
N#CC1=CCN(C(=O)C2=CC3=CC(F)=CC=C3S2)CC1,Z1630544526,11906553,31362,,,527,286.331,20,3.336,3,0,1,0.200,44.100,0.807,,,,,,True,,,,,AAACRCBTGBGXPJ-UHFFFAOYSA-N,,,-33.89132905948735
N#CCCCCCC(=O)OCC1=NN=NN1C1CCC1,Z3817539805,3010399,5136283,,,1458,277.328,20,1.915,7,0,8,0.769,93.690,0.532,,True,,,,True,True,,,,,SAAACREMBFQTIDA-UHFFFAOYSA-N,,-36.62661486219425
CNC(=O)N1CCC(C(=O)N2C[C@@H](O)C[C@H](O)C2)C1,Z6044812818,22696421,5758368,,,22,271.317,19,-1.398,4,3,1,0.833,93.110,0.547,,,,,,True,True,,,AAACRNIBHUXEAN-AGROOBSYSA-N,,,,-39.995982862747844
CNC(=O)N1CCC(C(=O)N2C[C@H](O)C[C@@H](O)C2)C1,Z6039142019,22260643,5758368,,,22,271.317,19,-1.398,4,3,1,0.833,93.110,0.547,,,,,,True,True,,,AAACRNIBHUXEAN-VXRWAFEHSA-N,,,,-39.99598300986003
COCC1=CCN(C(=O)C2=NN3C=C(Br)C=NC3=C2)CC1,Z2906939005,15158760,2790975,,,22,351.204,21,1.911,5,0,3,0.357,59.730,0.793,,True,,,,True,,,,AAACRRJGURJKHS-UHFFFAOYSA-N,,,,-33.61702066094955
COCC1=NC(COC(=O)C2=C(C3CC3)ON=C2Br)=CS1,Z3578505125,26569208,26286100,,,276436,373.228,21,3.274,7,0,6,0.462,74.450,0.724,,,,,,True,,,,AAACRTSAIRHMFM-UHFFFAOYSA-N,,,,-37.76245507128806
C=C1CN2C(=NN=C2C(=O)NCC2=CSC(C(C)C)=N2)S1,Z3841327375,2801774,26393000,,,527,321.431,21,2.407,7,1,4,0.385,72.700,0.936,,,,,,True,True,,,AAACRVOXBRHGAD-UHFFFAOYSA-N,,,,-40.89046116057214
CC1=CNC(C(=O)N2CC3(CCC3)C2C2=CC=NC=C2)=N1,Z2780519404,18829715,22131603,,,22,282.347,21,2.481,3,1,2,0.438,61.880,0.920,,,,,,True,True,,AAACSGLHPZRGTR-UHFFFAOYSA-N,,,,,-33.79431913083564
CC1(C(=O)NCC2=CC=C(C3=CC=CN=C3)C=C2)CC1F,Z2407034143,8204534,3480384,,,22,284.334,21,3.113,2,1,4,0.294,41.990,0.937,,,,,,True,,,,,AAACSIODZYBMTJ-UHFFFAOYSA-N,,,-33.336352469167224
O=C(OCC1(F)CC1)C1CC2=C(O1)C(OC(F)F)=CC=C2,Z3872942319,9308843,26359713,,,276436,302.248,21,2.637,4,0,5,0.500,44.760,0.784,,,,,,True,True,,,AAACSJLOGPAESW-UHFFFAOYSA-N,,,,-33.103212239782415
CC(=O)C1=CC(Br)=C(C(=O)NCC(=O)N2CCCO2)S1,Z4516921736,22829682,26621419,,,22,361.217,20,1.607,5,1,4,0.417,75.710,0.827,,,,,,True,,,AAACSMOGDMALQY-UHFFFAOYSA-N,,,,,-37.73726152049824
CCN1N=C(C)C(C(=O)N2CC(C(=O)O)CC(F)(F)C2)=N1,Z3390066812,9313979,3732842,,,188690,302.281,21,0.788,5,1,3,0.667,88.320,0.891,,,,,,True,True,,,,AAACSZBXESFRBY-UHFFFAOYSA-N,,,-33.86935763801114
CCC1(C)CN(C(=O)C2=C(C)C=NC(OC)=C2Cl)C1,Z6230118532,19200145,22494225,,,22,282.771,19,2.924,3,0,3,0.571,42.430,0.856,,,,,,True,True,True,,AAACTEIUJGAYJW-UHFFFAOYSA-N,,,,-34.13041841269494
CO[C@H]1C[C@@H](C(=O)NCC2(C)COC3=CC=CC=C3O2)C1,Z6144624255,3041858,11251580,,,22,291.347,21,1.758,4,1,4,0.562,56.790,0.918,,,,,,True,True,,,True,S,AAACTGHHRLZYNJ-HBBFGDNQSA-N,,-35.16926662818163
CO[C@H]1C[C@H](C(=O)NCC2(C)COC3=CC=CC=C3O2)C1,Z5455785037,3041858,11251581,,,22,291.347,21,1.758,4,1,4,0.562,56.790,0.918,,,,,,True,True,,,True,S,AAACTGHHRLZYNJ-OKAVTEJVSA-N,,-34.926253069978834
CN(C)C(=O)CC(=O)NC1=CC=C(C2=NN=CN2C)C=C1,Z3835990289,199960,3574726,,,22,287.323,21,0.899,5,1,4,0.286,80.120,0.847,,True,,,,True,True,,,,AAACTMBRBYVCST-UHFFFAOYSA-N,,,-35.84042547880413
CC1=NC(N2CCCC(C3=CC=NC=N3)C2)=NC=C1I,Z4224050773,2023544,23552124,,,27,381.221,20,2.564,5,0,2,0.429,54.800,0.749,,True,,,,True,,,,,AAACTXWUOSPHBH-UHFFFAOYSA-N,,,-33.0544824144759
N#CC1=C(C#N)N(CC2=CC=C(F)C=C2F)C=N1,Z1624951693,57449,72152,,,7,244.204,18,1.953,4,0,2,0.083,65.400,0.810,,,,,,True,,,,,,AAACUHJSYQPVOQ-UHFFFAOYSA-N,,-35.286644409478484
"CO[C@]12CCC[C@@]1(C(=O)N1CC=CCC1CO)CCO2 |&1:2,6|",Z5587836326,26400823,24366613,,,22,281.352,20,1.069,4,1,3,0.800,59.000,0.786,,True,,,,True,True,,,,True,M,"AAACUIODZWQUEY-JENMUQSASA-N,AAACUIODZWQUEY-ZRNAQANOSA-N",-37.49016147991349
